teachid,year,gender,ethnic,bdate,educ_lvl_cd,score_normed,relative_pay
30,2008,"F","B",-432,3,-.83476613,-.0073416
30,2012,"F","B",-432,3,.37089124,1.3349288
31,1999,"M","W",2116,5,.68804608,.08859066
31,2002,"M","W",2116,5,.41633956,1.3478037
32,2001,"F","B",7536,3,.99475566,-.91935903
32,2009,"F","B",7536,3,-1.3961594,-1.436446
33,2003,"M","W",412,5,.8667241,.02832826
33,2012,"M","W",412,5,-.41456734,.38516789
34,2001,"F","W",7637,4,.18320301,-.54765953
34,2003,"F","W",7637,4,.41967861,-1.328364
35,1997,"F","W",4936,4,-.05075499,-1.5086813
35,2004,"F","W",4936,4,-.91489614,-.84203355
36,2006,"M","W",7549,5,.50651907,-1.5712647
36,2011,"M","W",7549,5,.36513276,.44557944
37,1998,"F","W",-1412,4,.00849099,-.12313714
37,2007,"F","W",-1412,4,1.4678026,1.0173752
38,2002,"F","B",3633,4,-1.0344401,-.47562066
38,2007,"F","B",3633,4,-1.5471873,1.2507752
39,2000,"F","W",8932,3,.32661753,-1.659041
39,2003,"F","W",8932,3,-.27372179,-1.5213983
40,2001,"M","W",6287,4,-.14076692,-2.2017659
40,2004,"M","W",6287,4,-.48197599,-1.2221633
41,2010,"M","W",-1866,3,-.53128027,.45741946
41,2011,"M","W",-1866,3,-1.2693564,.45325827
42,1997,"F","W",3362,3,-1.647602,-1.6769792
42,2010,"F","W",3362,3,-.80737043,-.22547204
43,1998,"F","B",1181,3,.48822298,.803344
43,2010,"F","B",1181,3,.05739039,.68958697
44,2000,"F","W",1652,4,1.2209945,.82606577
44,2004,"F","W",1652,4,.50630993,1.4466303
45,1999,"F","B",4177,5,-.88811598,.14976239
45,2010,"F","B",4177,5,.25034326,-.02644238
46,2009,"F","W",5971,5,.15435725,-.34617848
46,2012,"F","W",5971,5,-.70588785,-.92130354
47,2006,"F","W",2754,6,-.01742086,-.2006255
47,2010,"F","W",2754,6,.4216367,.83970568
48,1999,"M","W",190,4,.47248904,.00301241
48,2006,"M","W",190,4,.83355703,.25300907
49,2005,"F","W",7201,4,-.70952343,-.22730287
49,2013,"F","W",7201,4,-.70665691,-.22267089
50,2006,"F","B",8529,5,-1.2264955,.69435688
50,2009,"F","B",8529,5,-.14203843,-1.1728336
51,2000,"F","W",3813,6,.60557708,-.45281166
51,2008,"F","W",3813,6,.67828687,1.70381
52,2003,"F","W",611,4,.83392961,1.4498529
52,2013,"F","W",611,4,.77976975,1.2470844
53,1997,"F","W",1400,3,.07398397,.45435647
53,2002,"F","W",1400,3,1.1539803,-.55567357
54,1997,"F","W",3020,4,.67350946,-1.3056773
54,2004,"F","W",3020,4,-.42676885,.21158847
55,1997,"F","W",1051,5,-1.0242359,.71055399
55,2010,"F","W",1051,5,.77687869,.92654363
56,1997,"F","W",7061,3,-.53568448,-1.2166459
56,2012,"F","W",7061,3,.40324261,-.17835296
57,2003,"M","B",-1666,4,-.06289901,.24969365
57,2010,"M","B",-1666,4,-.15307319,.95075781
58,2007,"M","W",279,5,-.19817211,.93097038
58,2010,"M","W",279,5,.21991542,-.46083002
59,2006,"M","W",1311,4,-.51536452,.32651722
59,2013,"M","W",1311,4,-.07625373,.79907982
60,2004,"F","W",4698,6,-1.2031475,.20867217
60,2012,"F","W",4698,6,-.71479868,.20267143
61,2004,"F","W",6749,3,-.48963,-1.1671045
61,2006,"F","W",6749,3,.76942461,-1.8818021
62,1998,"F","B",5141,6,-.70182948,-.61311941
62,2006,"F","B",5141,6,-.17432083,.14018043
63,2005,"F","B",-475,2,-.75910692,.36626507
63,2010,"F","B",-475,2,.14466967,1.8141676
64,2009,"F","W",-3409,7,-1.0402119,1.5994746
64,2012,"F","W",-3409,7,-.41953892,2.0822375
65,1997,"F","W",-2682,4,-1.0945126,.69032504
65,2013,"F","W",-2682,4,-.46403405,1.8860352
66,1999,"F","W",-315,2,1.5561766,-.51542946
66,2013,"F","W",-315,2,1.1821544,1.2210639
67,2003,"M","B",9075,4,-.54153363,-1.295709
67,2011,"M","B",9075,4,.09581327,-1.9018994
68,2005,"F","W",4935,4,-.28806565,-.35528478
68,2008,"F","W",4935,4,.57050548,-.3545282
69,1998,"F","W",5591,4,-.69612891,-2.0703099
69,2004,"F","W",5591,4,-.29800233,.14891965
70,2002,"F","W",2662,6,-.34546562,.31427679
70,2006,"F","W",2662,6,.34175598,1.3002177
71,2004,"M","W",9016,5,-.54232126,-.88839415
71,2009,"M","W",9016,5,1.0341809,-.39122759
72,2004,"F","B",4027,5,.86003081,.37225412
72,2013,"F","B",4027,5,-.19189141,.85610029
73,1999,"M","W",3513,6,-.40270639,-.63124205
73,2008,"M","W",3513,6,.79628446,.82519019
74,1998,"F","W",579,4,1.0803316,-.54197747
74,2013,"F","W",579,4,-.02168131,1.4436256
75,1999,"F","W",3950,5,.63425232,-.41950637
75,2006,"F","W",3950,5,-.48038169,.00651697
76,2000,"F","B",4001,4,.0796587,.13209325
76,2010,"F","B",4001,4,-1.817587,.62046599
77,1997,"F","W",434,3,.49123469,-.33938054
77,2004,"F","W",434,3,-.77418752,-.23268086
78,2005,"F","B",7336,5,-.4114298,.12840036
78,2010,"F","B",7336,5,.88992218,-.47882543
79,2001,"F","B",-2713,1,-.75025592,-.64777938
79,2013,"F","B",-2713,1,-.51708037,1.260832
80,2002,"M","B",8289,5,1.5684976,-1.4810773
80,2011,"M","B",8289,5,1.654517,-.36187729
81,2006,"F","W",2051,5,-.75407862,.48741864
81,2013,"F","W",2051,5,.03476433,1.3456309
82,2007,"M","W",-2672,3,-.75369794,-.26993766
82,2010,"M","W",-2672,3,.09855336,.87524762
83,1997,"F","W",718,2,1.0880849,-1.7468933
83,2004,"F","W",718,2,.32557517,.80053975
84,1998,"F","W",-2587,3,.75898261,-.0855015
84,2009,"F","W",-2587,3,2.2310697,.75423867
85,2004,"M","W",-2453,3,.30236998,.25181898
85,2013,"M","W",-2453,3,.0036503,.91899971
86,2011,"F","W",3991,3,-.70088713,1.2804911
86,2013,"F","W",3991,3,-2.0916653,-.86349211
87,1999,"F","W",-989,3,-.93859502,-.57776474
87,2012,"F","W",-989,3,-.72170173,.31912372
88,2000,"F","B",1921,4,-.34895145,-.28622391
88,2011,"F","B",1921,4,.21587354,1.4064907
89,2003,"M","W",-2477,4,-.54351502,1.2024038
89,2008,"M","W",-2477,4,.32416653,.95714547
90,2001,"F","W",3594,1,.03760629,-2.7173929
90,2011,"F","W",3594,1,-.54076423,.1130385
91,2000,"F","W",5729,5,-1.1429024,.89240087
91,2013,"F","W",5729,5,-.56489486,1.0376965
92,2007,"F","W",-1830,5,-.38715018,1.4382373
92,2009,"F","W",-1830,5,-.5871347,1.3505035
93,1999,"M","W",2793,4,1.0163026,-1.0305865
93,2011,"M","W",2793,4,-.87041591,-.02126472
94,2007,"F","W",6545,2,-.79698895,-.60264234
94,2012,"F","W",6545,2,.51178267,-1.3332991
95,1997,"M","W",1419,6,-.87042672,-.20128447
95,2009,"M","W",1419,6,-1.2802338,1.6317837
96,2000,"F","W",4505,4,.51330762,.3035071
96,2013,"F","W",4505,4,2.4332686,-.10537133
97,2007,"F","W",-2133,2,-.18313536,.08870838
97,2011,"F","W",-2133,2,.47511178,-.11343057
98,2001,"F","W",6635,6,-.32864172,.69562086
98,2005,"F","W",6635,6,-.10520845,-1.0648554
99,1998,"F","W",2780,5,.46406975,-.41332717
99,2012,"F","W",2780,5,-.09517796,.24828616
100,2001,"F","W",6935,4,.14294123,-.68857772
100,2010,"F","W",6935,4,.17591315,-.86462647
101,1997,"M","B",6894,4,.19148401,-.79331812
101,1999,"M","B",6894,4,.01899719,-.34789708
102,1999,"F","W",-1557,4,1.2220837,.10245339
102,2002,"F","W",-1557,4,-.68925731,.17237936
103,1998,"M","W",-1258,3,.21480369,-.55378893
103,2002,"M","W",-1258,3,-.86890884,-.05589215
104,1999,"F","B",-2261,4,1.0072039,.59540367
104,2002,"F","B",-2261,4,1.2227287,.26601858
105,1998,"M","W",6084,7,-1.8845359,-.76528796
105,2007,"M","W",6084,7,-1.1262811,.01676435
106,1999,"F","B",992,4,.81648598,-.19651466
106,2011,"F","B",992,4,.35845925,1.1986824
107,1999,"M","W",2348,4,.43995682,-.45526998
107,2006,"M","W",2348,4,.42195929,.40382078
108,2005,"F","W",1278,4,-.44372204,1.3603239
108,2012,"F","W",1278,4,-.43779637,-.2000501
109,2008,"M","W",1384,5,.53173676,1.4104758
109,2009,"M","W",1384,5,.62410961,1.9089736
110,1998,"F","W",1370,4,-.34214614,.06440723
110,1999,"F","W",1370,4,-.05321156,-.06421225
111,1997,"F","W",1637,2,.56722859,-.87578129
111,2009,"F","W",1637,2,.76302343,-1.0878068
112,2001,"M","W",6988,5,-.65146829,-.03226605
112,2009,"M","W",6988,5,-.61675285,-.59228982
113,1997,"F","W",8837,5,-.00420327,-1.1864909
113,2000,"F","W",8837,5,.18086225,-1.4346706
114,1999,"F","W",2703,3,-.51936415,-.32241395
114,2011,"F","W",2703,3,-.4990615,.38997878
115,2000,"F","W",2065,2,.33690085,-1.2117036
115,2006,"F","W",2065,2,-.51334926,-.08220712
116,2003,"F","W",9175,6,.59793787,.26819399
116,2013,"F","W",9175,6,.36045591,-.7597652
117,1999,"F","W",-2238,3,1.0489415,.49750587
117,2006,"F","W",-2238,3,-1.2334372,1.2507717
118,1997,"F","W",4324,5,.20130265,-1.4156253
118,2001,"F","W",4324,5,-.18024538,-.97080775
119,1998,"F","W",8373,5,-.74333095,-.22006313
119,2008,"F","W",8373,5,-.53015756,-.5167545
120,2000,"M","W",-2554,4,.15696022,1.3016156
120,2008,"M","W",-2554,4,-1.0007342,.8038808
121,1999,"M","W",2171,5,.2981736,-.15989848
121,2010,"M","W",2171,5,.99180038,.73965475
122,1998,"F","W",-1083,3,-1.5247984,.00108131
122,2007,"F","W",-1083,3,-.50373814,1.3885893
123,1999,"F","W",-2339,4,-1.2050739,1.0465799
123,2002,"F","W",-2339,4,-.45491287,1.9340309
124,2001,"F","B",3079,5,.26726993,.33813252
124,2011,"F","B",3079,5,1.1031826,.24657016
125,2005,"F","B",8743,4,.57052492,-1.1276176
125,2007,"F","B",8743,4,-.60526046,-.65818696
126,1998,"F","W",-937,3,-.885138,.63839065
126,2009,"F","W",-937,3,1.0957262,.05334398
127,2000,"F","B",1051,4,.01822513,.53716699
127,2007,"F","B",1051,4,-.48881499,.56993942
128,2001,"M","W",9399,4,-.16029033,-2.1714018
128,2012,"M","W",9399,4,.37307202,.1344046
129,2001,"F","W",9202,5,-.38784162,-1.38793
129,2011,"F","W",9202,5,-.50605893,-.28257453
130,1997,"F","W",3400,4,-.52435565,.02588253
130,2002,"F","W",3400,4,.63856339,-.2875134
131,1997,"M","W",2664,5,-.44594346,-.10836954
131,2000,"M","W",2664,5,.17502164,-.15064966
132,2001,"F","W",7461,4,1.4862886,-1.8504405
132,2009,"F","W",7461,4,.92087937,-.15712561
133,2010,"M","W",8583,5,1.4420972,-.49376202
133,2013,"M","W",8583,5,.19636427,-1.0055895
134,2006,"F","W",-1293,5,-.02640878,.76788648
134,2009,"F","W",-1293,5,.77775885,.6921498
135,1999,"F","W",3923,4,-.84424792,-.00744058
135,2000,"F","W",3923,4,-1.2083607,-.62680561
136,1998,"F","W",-2704,5,.3907908,1.4402883
136,2004,"F","W",-2704,5,.08601426,.55409097
137,2002,"F","B",-25,6,.842258,1.0549369
137,2011,"F","B",-25,6,.33092653,2.2232834
138,1997,"F","W",5060,3,1.2530077,-1.0698843
138,2003,"F","W",5060,3,.21733826,-1.8283846
139,1998,"M","W",771,4,-1.0576845,-.64512592
139,2010,"M","W",771,4,-.96922986,-1.0321689
140,2006,"F","B",1626,4,.43348794,-.60730189
140,2011,"F","B",1626,4,.23449183,.7980808
141,1999,"F","W",8375,5,-.18184235,-1.4750665
141,2009,"F","W",8375,5,.43793548,.10347934
142,2007,"F","W",5691,2,1.0376072,-1.5613999
142,2010,"F","W",5691,2,.69615792,-1.5216046
143,2002,"F","W",7555,5,.86183672,-.79293992
143,2013,"F","W",7555,5,.16596543,-.53016609
144,2002,"F","W",281,5,.00289692,.82750609
144,2003,"F","W",281,5,-1.4138953,.28615502
145,2005,"F","W",1465,4,-.20443312,-.10559382
145,2007,"F","W",1465,4,.26997505,.71072532
146,2004,"M","W",8272,5,-.11283848,-1.2972063
146,2011,"M","W",8272,5,.72077984,-.65966992
147,2011,"M","W",4677,2,-.03634535,-.66917515
147,2012,"M","W",4677,2,.39695544,-.94390421
148,2010,"M","W",6267,1,.99808758,-1.5008711
148,2012,"M","W",6267,1,-.26231015,-1.9456434
149,1997,"F","W",-2239,6,.39480229,.42057128
149,1999,"F","W",-2239,6,-.45311708,.4883801
150,1997,"F","W",9287,4,-.17545911,-1.2151406
150,2003,"F","W",9287,4,1.1783728,-1.5690553
151,1997,"F","B",4292,4,-1.3025526,-2.0183655
151,2002,"F","B",4292,4,.02213181,-.09560835
152,1997,"F","W",4243,4,-1.8420526,-.69626421
152,2006,"F","W",4243,4,-.54716738,.08864909
153,2004,"M","W",3060,3,-.44860761,-1.0588874
153,2013,"M","W",3060,3,1.4690586,-.52307613
154,2001,"F","B",3795,7,-.58117374,.17621995
154,2013,"F","B",3795,7,.13248143,.49414102
155,2010,"F","W",2931,4,.24723202,.56944443
155,2012,"F","W",2931,4,-.45095724,.88749224
156,1998,"F","W",736,4,.38439718,-1.0589959
156,2004,"F","W",736,4,-.23785357,-.59067997
157,1997,"M","B",2911,5,-.76500476,-.16128497
157,2000,"M","B",2911,5,-1.4300405,-.37491912
158,2001,"F","W",1710,6,-.08381509,.42211844
158,2010,"F","W",1710,6,-.55627245,.00613964
159,1997,"F","W",8128,4,-.65634708,-1.0989282
159,2013,"F","W",8128,4,.75041251,.47104389
160,2002,"M","W",7955,2,.9470891,-.34929269
160,2004,"M","W",7955,2,.38292021,-.49010495
161,2000,"F","W",-1446,4,-.12921688,.22912528
161,2009,"F","W",-1446,4,-.05456937,.98818354
162,2004,"F","W",9159,3,-.09506531,-1.9075236
162,2011,"F","W",9159,3,-.10050529,-.2288317
163,1999,"F","W",1789,4,.07218068,-1.6632598
163,2007,"F","W",1789,4,.24117732,.31822904
164,2001,"F","B",8140,4,-.14206278,-1.4362093
164,2007,"F","B",8140,4,1.4624439,-.32939302
165,1999,"F","W",237,5,-.54320739,.71351499
165,2001,"F","W",237,5,.97208058,-.58581425
166,2000,"F","W",1828,1,-.1542454,-1.1036251
166,2006,"F","W",1828,1,-1.0347977,-.87483577
167,2001,"F","W",-3406,4,.07918154,1.3878378
167,2008,"F","W",-3406,4,.7505451,.95333683
168,1998,"M","W",1516,7,-.78050695,.76135711
168,2000,"M","W",1516,7,-.83505446,.65254249
169,1999,"F","W",3006,4,-.74133612,-.56342917
169,2008,"F","W",3006,4,.593878,-.61288787
170,2006,"M","W",4580,3,-.81496371,-.13410646
170,2008,"M","W",4580,3,.50606445,-.09905726
171,2001,"M","B",-2472,4,-.02245371,.17626334
171,2009,"M","B",-2472,4,.54035262,1.181238
172,2000,"F","W",3479,4,-.09203652,-.13499502
172,2013,"F","W",3479,4,.42783623,-.76569756
173,2005,"M","W",8118,5,-.15558481,.08843643
173,2006,"M","W",8118,5,.11360696,-1.080351
174,1997,"F","W",3273,5,-.56224317,.50878723
174,2001,"F","W",3273,5,.48743076,-.89798137
175,1998,"F","W",5859,6,1.2862289,-.14055936
175,1999,"F","W",5859,6,.85723344,-.4302307
176,2003,"F","W",4963,2,-.24025286,-1.6269669
176,2009,"F","W",4963,2,.09299858,-.81957486
177,1997,"M","W",-2416,4,1.4314877,-.30730638
177,2012,"M","W",-2416,4,.52834794,1.1923648
178,1999,"F","B",4965,5,1.607077,-1.0629605
178,2013,"F","B",4965,5,1.2081268,-.66349867
179,2002,"F","B",1783,4,.01962743,-1.2448149
179,2006,"F","B",1783,4,.54404632,-.42213952
180,2000,"F","W",4294,3,.47418238,-.71477988
180,2012,"F","W",4294,3,-.87571524,-.74607687
181,1998,"F","W",9432,4,1.2168349,-1.0000338
181,2011,"F","W",9432,4,2.357407,.51701522
182,2005,"F","W",7746,7,1.0181387,.45085713
182,2010,"F","W",7746,7,1.1327096,-1.0846024
183,2008,"F","W",9378,3,-.02690118,-1.6872553
183,2009,"F","W",9378,3,.15810859,-.61963433
184,1997,"F","W",8953,4,1.577169,-1.3215569
184,2002,"F","W",8953,4,.69683828,-.98981898
185,1998,"F","W",-342,3,-.06314291,-.58725327
185,2010,"F","W",-342,3,.286217,.44431399
186,1999,"F","W",-2682,5,-.99298086,1.1474927
186,2013,"F","W",-2682,5,-.28549176,1.8270644
187,1997,"F","W",-2702,4,-.08574327,-.16929977
187,2009,"F","W",-2702,4,.06307644,1.9608945
188,2002,"F","W",5492,4,-.49219628,-.98388875
188,2011,"F","W",5492,4,-1.558746,.4221087
189,2000,"F","W",2373,4,-.54807685,-1.1429364
189,2008,"F","W",2373,4,.98604099,-.07729715
190,2002,"F","W",-1684,5,-.2657325,1.3865521
190,2009,"F","W",-1684,5,.27310504,1.4234835
191,1997,"F","W",5982,4,1.7612862,-1.2815209
191,2001,"F","W",5982,4,.59314611,-1.0463428
192,2002,"F","W",5624,2,.50569259,-1.967383
192,2004,"F","W",5624,2,.31346959,-.25981919
193,2001,"M","W",-1395,4,-.89950375,1.1754344
193,2005,"M","W",-1395,4,.29892253,-.08381015
194,1997,"F","W",2032,6,-.06098519,1.0865222
194,2013,"F","W",2032,6,-.60812408,2.1298005
195,2007,"F","W",413,4,-.90470899,.64093744
195,2013,"F","W",413,4,-1.1531854,1.4806517
196,2002,"F","W",2196,4,-.86787334,-.67728814
196,2006,"F","W",2196,4,.01711886,.60987187
197,2009,"F","W",-883,4,-.567853,1.5428542
197,2010,"F","W",-883,4,.07113454,-.0129718
198,2004,"F","W",1751,3,-.26991634,-.32266288
198,2005,"F","W",1751,3,.15851284,-.58358321
199,2001,"F","W",649,4,-.25521668,.07439287
199,2008,"F","W",649,4,.73116073,1.1171193
200,2005,"F","B",5005,4,-.33476808,.07416302
200,2009,"F","B",5005,4,-.05416285,.12071587
201,2003,"F","W",6082,4,-.02734862,-.35352908
201,2013,"F","W",6082,4,-1.2120702,.08362951
202,1997,"F","W",6577,3,1.5243373,-1.3629248
202,2013,"F","W",6577,3,-.32104897,-.7768236
203,1999,"F","B",3034,5,-.68039332,-.07854453
203,2004,"F","B",3034,5,.18885183,.07990887
204,2009,"M","W",7864,4,-.51278231,-.85033833
204,2013,"M","W",7864,4,.74895981,-.35845649
205,2003,"F","W",518,3,.52900734,.26882885
205,2011,"F","W",518,3,.59823017,-.2806574
206,2004,"F","B",3412,2,-.59114262,-1.6732764
206,2011,"F","B",3412,2,.36659489,-.25246612
207,2004,"F","W",5592,5,1.3093996,.01502806
207,2010,"F","W",5592,5,-.19561256,-.50766515
208,2005,"M","W",-2122,5,.39404857,.88205593
208,2010,"M","W",-2122,5,-.50780154,.03507573
209,1997,"F","W",112,5,-1.078212,1.0773363
209,2001,"F","W",112,5,-1.6258051,.39073481
210,2006,"F","W",3456,4,-.57127772,.39975629
210,2013,"F","W",3456,4,-.16764292,.32724184
211,2001,"F","W",-1699,3,.49185065,-.31241865
211,2002,"F","W",-1699,3,.41053343,-1.2120291
212,1997,"M","W",2843,4,-.73492399,-.65840843
212,2011,"M","W",2843,4,.75225597,-.34271308
213,2004,"F","W",-86,6,.32189763,.58032437
213,2013,"F","W",-86,6,-1.1392912,1.4706098
214,2000,"F","W",-3213,4,-1.2539073,.3069354
214,2010,"F","W",-3213,4,-1.0322541,.93961021
215,1997,"F","W",7806,6,.2734172,-.67086348
215,2004,"F","W",7806,6,.43653229,.40041498
216,2006,"F","W",9300,3,-1.0731128,-1.1598747
216,2007,"F","W",9300,3,-.69521486,-1.1948283
217,2002,"F","W",-928,4,1.8102821,1.2886354
217,2011,"F","W",-928,4,-.29244137,.86387825
218,2001,"F","W",-899,5,1.1936571,1.2017231
218,2006,"F","W",-899,5,-.5099478,1.4129312
219,2009,"M","W",8071,5,-1.6834155,-.60645286
219,2013,"M","W",8071,5,-.10108355,-.54474404
220,1997,"F","W",7428,3,.82592502,-1.9400391
220,2003,"F","W",7428,3,-.70918414,-1.4037694
221,1998,"F","W",7171,5,.01280942,-.93911088
221,2002,"F","W",7171,5,-.36349121,.33970494
222,2000,"F","B",36,4,-.0914976,-.36067951
222,2002,"F","B",36,4,-.08687224,.34599386
223,2003,"F","W",6622,5,.23943409,.32743701
223,2010,"F","W",6622,5,.27303971,-.07139675
224,2001,"F","W",998,3,.01783993,.50400397
224,2006,"F","W",998,3,.22470501,.10514247
225,2004,"F","W",5502,5,.18101533,-.45207855
225,2005,"F","W",5502,5,.79358613,.23699029
226,2001,"F","W",8239,6,1.2135582,-.51632533
226,2012,"F","W",8239,6,1.0501544,.48117729
227,2003,"F","W",-552,4,.82893986,-1.0955415
227,2010,"F","W",-552,4,.63142474,-.4545344
228,2007,"M","W",-2409,4,.0127518,.75870261
228,2010,"M","W",-2409,4,-1.5525236,1.7723964
229,2004,"F","W",-1596,5,.04695281,.66848267
229,2008,"F","W",-1596,5,-.15110282,.88197155
230,1997,"F","W",7496,4,.17351109,-1.2952219
230,2013,"F","W",7496,4,.43360753,.31579938
231,2000,"M","W",-3243,4,-.10280207,1.4807769
231,2013,"M","W",-3243,4,.44749342,.89820636
232,1998,"F","W",8676,6,.51429408,-.73024397
232,2008,"F","W",8676,6,-.38502028,.12911973
233,2008,"F","W",6272,4,.90215947,.8349239
233,2013,"F","W",6272,4,.7499193,-1.1123352
234,2002,"M","W",3930,5,-.11744379,.83692361
234,2013,"M","W",3930,5,-.8843863,.62525351
235,2001,"M","W",-1269,3,-.90992391,-.73870987
235,2003,"M","W",-1269,3,-.77801435,.66028451
236,1997,"M","W",7419,5,1.425767,-.30377964
236,2002,"M","W",7419,5,.10375941,-.94863055
237,2002,"M","W",-815,5,-1.3326629,.11755951
237,2013,"M","W",-815,5,-.80878271,.93191491
238,2000,"F","W",-2013,5,.64151016,1.0562377
238,2006,"F","W",-2013,5,1.0913467,1.0779033
239,2003,"M","B",3359,4,.23380511,-1.085566
239,2008,"M","B",3359,4,-.91727568,.25608183
240,2004,"F","W",-3095,4,.20749183,1.4343144
240,2012,"F","W",-3095,4,.58154975,.29266593
241,2001,"F","W",2894,4,-.58188143,-.3717837
241,2008,"F","W",2894,4,.9529426,1.3599533
242,2000,"F","W",541,5,.33266848,-.8829222
242,2008,"F","W",541,5,.57479587,2.5636615
243,1997,"F","B",-758,3,.38206208,-.98590569
243,2008,"F","B",-758,3,-.75510087,.47498203
244,2003,"F","W",4454,6,-.82579571,-.25732143
244,2011,"F","W",4454,6,-.81680821,.99899539
245,2000,"F","W",4865,5,.89874665,-.0792064
245,2005,"F","W",4865,5,-.58861847,-.55093078
246,1998,"F","B",4762,3,.61428462,-2.0773211
246,2012,"F","B",4762,3,.75707274,-.25697319
247,2001,"F","W",-2670,2,.5298021,.26667356
247,2004,"F","W",-2670,2,-.28261482,-.25062198
248,1998,"F","W",-1526,4,.53663423,.43059789
248,2003,"F","W",-1526,4,.54065125,-.03971046
249,1997,"F","W",-1181,7,-.24827828,1.2751973
249,2009,"F","W",-1181,7,-.4837753,1.4769444
250,1998,"F","B",1831,3,1.2689162,.19546663
250,2007,"F","B",1831,3,.93084707,.23281939
251,2001,"F","W",5190,3,-.35711951,-2.1482217
251,2008,"F","W",5190,3,-.07688953,-.48245416
252,2005,"F","W",-2780,2,-.30747859,.13667263
252,2012,"F","W",-2780,2,.37584375,1.041017
253,2002,"F","B",984,5,-.23150624,-.37931197
253,2013,"F","B",984,5,-2.4373264,1.5211106
254,1998,"M","B",1589,4,-.00839032,-.53285169
254,2013,"M","B",1589,4,1.1211691,.86757531
255,2006,"F","W",8815,3,-.29463187,-1.6726442
255,2011,"F","W",8815,3,-.67159502,-.73198591
256,1999,"F","W",9257,4,.1593125,-2.005508
256,2004,"F","W",9257,4,-.59538756,.19269809
257,2004,"F","B",970,6,.12149195,.28301458
257,2006,"F","B",970,6,.02886501,1.3108442
258,1998,"M","W",2034,2,-.29306515,-1.2417871
258,2004,"M","W",2034,2,.85432532,-.51212347
259,2009,"M","W",8591,5,.1690323,-1.3908421
259,2012,"M","W",8591,5,.14667839,.23045156
260,2006,"F","W",-3260,4,-.27498736,.73745345
260,2007,"F","W",-3260,4,-.46122631,1.1038822
261,1999,"F","W",2260,6,.23578011,-.51519589
261,2011,"F","W",2260,6,-1.0999935,1.6468315
262,1997,"F","W",5391,5,.41251028,-.79649914
262,2011,"F","W",5391,5,-.33040605,.11362996
